gene	mean_log2_cpm_control	mean_log2_cpm_covid19	log2_cpm_difference	p_value	fdr_bh
H3F3A	4.973450846192033	7.045599207166909	2.072148360974876	3.532056342035105e-07	0.0019236284582221075
SLC25A22	1.8261761066246753	2.7392844725936847	0.9131083659690094	4.0124071984259415e-07	0.0019236284582221075
PSMA4	3.5676753307266873	5.308757327432986	1.7410819967062983	4.6487786239234205e-07	0.0019236284582221075
ZCCHC2	6.316610413417516	7.320520238484277	1.0039098250667609	5.71612780526607e-07	0.0019236284582221075
NDUFB4	2.658769676126794	4.384791456362308	1.7260217802355138	6.684497774669305e-07	0.0019236284582221075
TFE3	3.7836472598262225	4.847303553466104	1.0636562936398817	7.031354084693575e-07	0.0019236284582221075
CHRM3-AS2	4.157886597511205	1.9095251676373042	-2.248361429873901	7.316029265724345e-07	0.0019236284582221075
ARRB2	5.246193631535983	6.525476336104506	1.2792827045685229	7.405079006286596e-07	0.0019236284582221075
MAFG	3.9394683255721783	5.535217349073602	1.595749023501424	9.222123468177893e-07	0.0019236284582221075
ZFP91	5.500185383285465	6.270362802132962	0.7701774188474975	9.726621413518753e-07	0.0019236284582221075
ERFL	4.516353587219565	1.8944491031895705	-2.6219044840299945	9.731827733267342e-07	0.0019236284582221075
AC096564.2	1.3836848485390998	0.2895200456652561	-1.0941648028738438	1.0946055927654294e-06	0.0019833341169582276
ATG14	5.815082412895655	4.920854122035532	-0.8942282908601227	1.2843537034335445e-06	0.0021481309672119657
SOCS4	4.174659005155854	4.983070494523143	0.8084114893672893	1.4105754079677838e-06	0.0021907243639602515
PSME1	2.560108006855613	4.524736537378455	1.9646285305228424	1.6435274593830022e-06	0.0023823478366243075
DYNLL2	2.1810824657789767	4.871945415066971	2.6908629492879945	1.983446498069399e-06	0.002695379825470184
AL136114.1	4.275247182706829	0.22035718914901534	-4.054889993557813	2.38538236633115e-06	0.0029114670854478585
CEBPB	4.832838416871672	8.071214822916575	3.238376406044903	2.6223311109141076e-06	0.0029114670854478585
CDHR5	2.590678955789616	0.6661592173616981	-1.9245197384279178	2.77856631506037e-06	0.0029114670854478585
UBE2A	3.953496280070894	4.853418584355359	0.8999223042844653	2.90732953748574e-06	0.0029114670854478585
SLC38A2	6.819683838226996	8.124372264743842	1.3046884265168464	2.9370569239338495e-06	0.0029114670854478585
CNGB3	2.246547099144913	0.3676115799650505	-1.8789355191798622	2.945880323775601e-06	0.0029114670854478585
CASC19	5.725858171977106	2.975443852232131	-2.750414319744975	3.3644483594083204e-06	0.003180573942548483
KCNAB3	2.439522220124474	1.3397400483042636	-1.0997821718202103	3.879490479033806e-06	0.003321064490832027
RPL36AL	2.2065978736554768	4.509356910242483	2.302759036587006	3.964347143097377e-06	0.003321064490832027
NECTIN3-AS1	2.749916591033709	1.3844497147393797	-1.3654668762943292	3.971286242084013e-06	0.003321064490832027
AC069272.1	4.199266724882484	2.5236845567125936	-1.6755821681698908	4.332261877398631e-06	0.003378437112256008
DPH6	7.524374684587102	6.228099762403551	-1.2962749221835503	4.414266765030233e-06	0.003378437112256008
SLC24A1	5.220134607495295	3.7575202488702177	-1.462614358625077	4.506033033869486e-06	0.003378437112256008
SLFN11	4.726724018780544	6.205243003288804	1.47851898450826	5.158811135386546e-06	0.0036332087073032296
HSPA8	3.5451539413004594	7.286585618953132	3.7414316776526726	5.2516007813622e-06	0.0036332087073032296
SAP18	2.481296740852131	4.254485275464377	1.7731885346122462	5.489605242030019e-06	0.0036332087073032296
GABARAPL2	2.549435360080042	4.083864648849617	1.5344292887695747	5.566637386553064e-06	0.0036332087073032296
AL121895.1	1.8749397406611246	0.7062061114806045	-1.1687336291805202	5.728820133712316e-06	0.0036332087073032296
