gene,mean_log2_cpm_control,mean_log2_cpm_covid19,log2_cpm_difference,p_value,fdr_bh
IFITM3,2.801276713477208,5.881439035743097,3.0801623222658887,0.00017926053395558834,0.00966923290174342
ISG15,2.160487631123248,3.9530396037403874,1.7925519726171393,0.0012231258053520722,0.01902319340899149
IFIT3,2.7635056876786037,4.187680624440865,1.424174936762261,0.0018376373741896242,0.022805793051943492
OAS1,3.3940267796376316,4.551018296523474,1.1569915168858427,0.011298795735347273,0.05658891919242765
IFIT1,2.094436086821185,3.044255726535367,0.9498196397141823,0.029196574099393344,0.09934602670471197
CXCL10,1.0734916553586398,4.04006464644754,2.9665729910889,0.03604357673825624,0.11279439968622704
STAT1,6.52239560659274,7.652396785503188,1.1300011789104483,0.03861082104627186,0.11795912350837277
MX1,5.106258521846741,5.975266919048308,0.8690083972015668,0.06260244855980789,0.15947607954925413
IL6,2.4342848170531424,3.6200807660143277,1.1857959489611853,0.16053635058075236,0.2979769018381559
ACE2,0.8714158529030137,0.7514858621266098,-0.11992999077640387,0.6466553155324819,0.7558391930262298
